source,relation,target,source_type,target_type
temporal development,usesConfiguration,gap centre,Scientific Experiment,Configuration
electron source,measures,temperature,Diagnostic Device,Quantity
Microwave,measures,temperature,Plasma Source,Quantity
power supply,usedIn_ResearchActivity_investigates,Z -pinch,Diagnostic Device,Physical Effect
discharge channel,generatedBy_measures,electrode symmetry axis,Plasma Study,Quantity
color filter,usedIn_ResearchActivity_investigates,radiation,Diagnostic Device,Physical Effect
streak images,usesDevice_Device_measures,intensity,Scientific Experiment,Quantity
laser,usedIn_ResearchActivity_hasMedium,electrons,Diagnostic Device,Medium
nozzle,usedToDiagnose_MaterialEntity_hasApplicationField,plasma welding and cutting,Diagnostic Device,Application Field
tube,measures,magnetic fields,Diagnostic Device,Quantity
applicator,usedToDiagnose_MaterialEntity_hasApplicationField,oral treatment,Diagnostic Device,Application Field
DBDs,uses,O 2 in N 2,Plasma Source,Medium
tube,usedToDiagnose_MaterialEntity_hasApplicationField,plasma generation,Diagnostic Device,Application Field
sealed chamber,usedIn_ResearchActivity_hasPlasmaSource,torches,Diagnostic Device,Plasma Source
resonator,usedIn_ResearchActivity_hasPlasmaSource,radio -frequency,Diagnostic Device,Plasma Source
accelerator,usedIn_ResearchActivity_hasPlasmaSource,source,Diagnostic Device,Plasma Source
translation device,usedToDiagnose_MaterialEntity_hasApplicationField,film deposition,Diagnostic Device,Application Field
MD,measures,electric field,Plasma Source,Quantity
helium,used_in,APGD,Medium,Plasma Source
propagation velocities,hasUnit,mm,Quantity,Unit
microwave,measures,electric power,Plasma Source,Quantity
density profiles,hasUnit,ms,Quantity,Unit
current characteristics,hasUnit,kV,Quantity,Unit
coating techniques,hasApplicationField,vapor or gas phase deposition,Plasma Study,Application Field
medium -energy accelerator,measures,magnetic field,Plasma Source,Quantity
iCCD single shot,usesDevice_Device_measures,displacement current,Scientific Experiment,Quantity
ns,unit_of,radiation lifetimes,Unit,Quantity
ms,unit_of,CO 2 conversion frequency,Unit,Quantity
camera,usedIn_ResearchActivity_investigates,discharge propagation,Diagnostic Device,Physical Effect
iCCD camera,usedIn_ResearchActivity_investigates,propagation on the electrode surfaces,Diagnostic Device,Physical Effect
rate coefficients,hasUnit,K,Quantity,Unit
electric discharge,uses,discharge gas,Plasma Source,Medium
resolution,hasPlasmaSource_generates,high pressure,Scientific Experiment,Plasma Study
electron energy,hasUnit,µs,Quantity,Unit
spatio temporally resolved study,usesDevice_Device_measures,active species densities,Scientific Experiment,Quantity
spark plug,measures,voltage,Plasma Source,Quantity
Nd YAG laser,usedIn_ResearchActivity_investigates,Laser photodetachment,Diagnostic Device,Physical Effect
spatially averaged,usesDevice_Device_measures,spectrally integrated emission profiles,Scientific Experiment,Quantity
resolution,hasPlasmaSource_generates,discharge development,Scientific Experiment,Plasma Study
plasma beam,measures,electromagnetic force,Plasma Source,Quantity
flux pipe,measures,magnetic field,Diagnostic Device,Quantity
temporal resolution,usesConfiguration,single filament,Scientific Experiment,Configuration
gas supply mechanism,usedIn_ResearchActivity_hasPlasmaSource,plasma generating mechanism,Diagnostic Device,Plasma Source
induction,measures,induction field,Plasma Source,Quantity
electrode,usedIn_ResearchActivity_hasMedium,gas flow,Diagnostic Device,Medium
multi -stage,measures,50 MeV,Plasma Source,Quantity
MDs,measures,half period,Plasma Source,Quantity
streak photography,usesDevice_Device_measures,spatio temporal distributions,Scientific Experiment,Quantity
FPCs,measures,UV lights,Diagnostic Device,Quantity
probe measurements,usesDevice_Device_measures,density of,Scientific Experiment,Quantity
ion accelerator,uses,ions,Plasma Source,Medium
ion source,measures,power,Plasma Source,Quantity
DBD,measures,flow rate,Plasma Source,Quantity
plasma processing chamber,usedIn_ResearchActivity_investigates,standing wave,Diagnostic Device,Physical Effect
advanced diagnostics,investigates,photodesorption,Scientific Experiment,Physical Effect
D.C.,usedIn_ResearchActivity_hasPlasmaSource,torch,Diagnostic Device,Plasma Source
power supply unit,usedIn_ResearchActivity_hasPlasmaSource,high -frequency,Diagnostic Device,Plasma Source
electric arc,measures,flow,Plasma Source,Quantity
electro optic crystal,usedIn_ResearchActivity_investigates,positive affinity,Diagnostic Device,Physical Effect
spatial distribution of charge carriers,generatedBy_measures,half period,Plasma Study,Quantity
ppm,unit_of,electron density,Unit,Quantity
Experimental set up,usesConfiguration,coplanar pin to pin arrangement,Scientific Experiment,Configuration
μs,unit_of,current,Unit,Quantity
neon,used_in,DBDs,Medium,Plasma Source
V cm 2,unit_of,reduced electric field,Unit,Quantity
streamer velocity,hasUnit,1vol,Quantity,Unit
Laser,usedToDiagnose_MaterialEntity_hasApplicationField,plasma light source,Diagnostic Device,Application Field
propagation velocity,hasUnit,mm,Quantity,Unit
cooling unit,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
admixture of oxygen with nitrogen gas,used_in,BD,Medium,Plasma Source
external capacitor,measures_hasUnit,nF,Diagnostic Device,Unit
electrode,usedIn_ResearchActivity_investigates,ionizing,Diagnostic Device,Physical Effect
arc torch,measures,current,Plasma Source,Quantity
sccm,unit_of,electrical discharge current,Unit,Quantity
axial laser position,usesDevice_Device_measures,wavelength,Scientific Experiment,Quantity
cm 3,unit_of,current densities,Unit,Quantity
measurements of the discharge current,usesDevice_Device_measures,current slope,Scientific Experiment,Quantity
streak and iCCD images,hasMedium,0 1 vol O 2 in N 2,Scientific Experiment,Medium
CCD camera,measures,area,Diagnostic Device,Quantity
mm,unit_of,ion drift time,Unit,Quantity
kW m,unit_of,electrode area,Unit,Quantity
particle -gas stream,used_in,micro discharge channels,Medium,Plasma Source
µs,unit_of,emission maximum,Unit,Quantity
experimental findings,usesConfiguration,asymmetrical discharge configurations,Scientific Experiment,Configuration
electrons,used_in,accelerating electrode,Medium,Plasma Source
generator,usedIn_ResearchActivity_hasPlasmaSource,induction plasma,Diagnostic Device,Plasma Source
experimentally observed,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
ion source,measures,intensity,Plasma Source,Quantity
m,unit_of,streamer velocities,Unit,Quantity
torches,measures,high power,Plasma Source,Quantity
Tektronix CT,measures_hasUnit,ns,Diagnostic Device,Unit
power detection unit,measures,power,Diagnostic Device,Quantity
propagation velocity,hasUnit,cm,Quantity,Unit
kΩ,unit_of,resistor,Unit,Quantity
BDs,uses,helium,Plasma Source,Medium
cathode,usedIn_ResearchActivity_investigates,radiation,Diagnostic Device,Physical Effect
electrode,measures,frequency,Diagnostic Device,Quantity
electrostatic accelerator,measures,neutron flux,Diagnostic Device,Quantity
vol,unit_of,voltage slopes,Unit,Quantity
nanosecond,unit_of,conduction current,Unit,Quantity
observed,usesDevice_Device_measures,displacement current which,Scientific Experiment,Quantity
ZIROX SGM 7 4,usedIn_ResearchActivity_hasMedium,impurity,Diagnostic Device,Medium
experimentally observed discharge current,usesDevice_Device_measures,discharge current,Scientific Experiment,Quantity
capacitive device,usedIn_ResearchActivity_hasMedium,helium,Diagnostic Device,Medium
plasma processing chamber,usedIn_ResearchActivity_hasPlasmaSource,spiral coil,Diagnostic Device,Plasma Source
emitter,usedIn_ResearchActivity_investigates,energy emission,Diagnostic Device,Physical Effect
electric field,hasUnit,kV cm 1,Quantity,Unit
REACTOR,usedToDiagnose_MaterialEntity_hasApplicationField,CONTROLLED FUSION,Diagnostic Device,Application Field
reactor,usedIn_ResearchActivity_investigates,diffusion,Diagnostic Device,Physical Effect
plasma processing device,usedToDiagnose_MaterialEntity_hasApplicationField,plasma enhanced CVD,Diagnostic Device,Application Field
tunable laser,investigates,detachment,Scientific Experiment,Physical Effect
ions,used_in,positive high voltage potential,Medium,Plasma Source
current,hasUnit,1vol,Quantity,Unit
electron accelerator,measures,high voltage,Plasma Source,Quantity
laser beam profiles,usesDevice_Device_measures,laser pulse energy,Scientific Experiment,Quantity
Microdischarges,measures_hasUnit,μs,Plasma Source,Unit
mm,unit_of,propagation velocity,Unit,Quantity
cavity,measures,RF power,Diagnostic Device,Quantity
striations,generatedBy_measures,half period,Plasma Study,Quantity
vol,unit_of,recombination rates,Unit,Quantity
Plexiglas cell,usesConfiguration,covered electrodes,Scientific Experiment,Configuration
chamber,measures,input voltage,Diagnostic Device,Quantity
intensified charge coupled device,usedIn_ResearchActivity_hasMedium,binary gas mixtures,Diagnostic Device,Medium
optical diagnostics,hasPlasmaSource_generates,atmospheric pressure,Scientific Experiment,Plasma Study
direct high -voltage source,measures,resistances,Diagnostic Device,Quantity
A cm 2,unit_of,duration,Unit,Quantity
pulse power source,usedIn_ResearchActivity_investigates,plasma pinches,Diagnostic Device,Physical Effect
laser beam,investigates,accelerate,Scientific Experiment,Physical Effect
duration,hasUnit,mm,Quantity,Unit
turbomachine combustion chamber,measures,flow,Diagnostic Device,Quantity
µm,unit_of,resolution,Unit,Quantity
discharge diameter,hasUnit,cm 3,Quantity,Unit
wafer,measures,RF power,Diagnostic Device,Quantity
plasma reactors,measures,area,Diagnostic Device,Quantity
dielectric resonator oscillator,measures,thrust,Diagnostic Device,Quantity
switch driver,usedIn_ResearchActivity_hasPlasmaSource,arc torch,Diagnostic Device,Plasma Source
LED illumination,usesDevice_Device_measures,discharge cycle,Scientific Experiment,Quantity
measured,usesDevice_Device_measures,voltage and current,Scientific Experiment,Quantity
RF driver circuit,measures,impedance,Diagnostic Device,Quantity
applied voltage,hasUnit,sccm,Quantity,Unit
low temperature,generatedBy_measures,frequency,Plasma Study,Quantity
AC,measures,discharge current,Plasma Source,Quantity
discharge,measures,magnetic field,Plasma Source,Quantity
Experimental,investigates,bifurcation,Scientific Experiment,Physical Effect
space and time resolved high resolution recordings,hasMedium,O 2 N 2 mixtures,Scientific Experiment,Medium
CVD reaction chamber,measures,flow ratio,Diagnostic Device,Quantity
single DBDs,usesDevice_Device_measures,diameter,Scientific Experiment,Quantity
vacuum vessel,measures,distance,Diagnostic Device,Quantity
noise level,usesDevice_Device_measures,emission profiles,Scientific Experiment,Quantity
jet,uses,non -oxidizing gas,Plasma Source,Medium
APGD,uses,N 2 O in N 2,Plasma Source,Medium
ions,used_in,thruster,Medium,Plasma Source
plasma generating device,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
chamber,usedIn_ResearchActivity_hasPlasmaSource,plasma arc,Diagnostic Device,Plasma Source
Zirox SGM 7 4,usedIn_ResearchActivity_hasMedium,pure N 2,Diagnostic Device,Medium
dispersion circuit,measures,discharge current,Diagnostic Device,Quantity
total gas flow,hasUnit,s,Quantity,Unit
kV,unit_of,voltage amplitude,Unit,Quantity
mass spectrometry,usedIn_ResearchActivity_investigates,ionic chemistry,Diagnostic Device,Physical Effect
ICCD camera image,investigates,optical emission,Scientific Experiment,Physical Effect
spatial structure,generatedBy_measures,streamer velocities,Plasma Study,Quantity
experimental technique,usesDevice_Device_measures,E n,Scientific Experiment,Quantity
plasma reactor,measures,electric potential,Diagnostic Device,Quantity
Andor iStar 334T,measures_hasUnit,µm,Diagnostic Device,Unit
electrode,usedIn_ResearchActivity_hasPlasmaSource,torch,Diagnostic Device,Plasma Source
PMT,measures_hasUnit,ns,Diagnostic Device,Unit
spectroscopic,usesDevice_Device_measures,surface charge,Scientific Experiment,Quantity
counter electrode,measures,time,Plasma Source,Quantity
non inductive shunt resistor,hasConfiguration,DBD arrangements,Diagnostic Device,Configuration
chamber,measures,electrical power,Diagnostic Device,Quantity
cold plasma,uses,atmospheric pressure,Plasma Source,Medium
atmospheric pressure Townsend discharge,uses,5 vol N 2 O in N 2,Plasma Source,Medium
Hamamatsu R928,measures,light intensity,Diagnostic Device,Quantity
DC,measures,-voltage,Plasma Source,Quantity
electrode area,hasUnit,mbar,Quantity,Unit
plasma supply device,measures,power,Diagnostic Device,Quantity
kV,unit_of,E n,Unit,Quantity
RF oscillator,usedIn_ResearchActivity_hasPlasmaSource,RF oscillator,Diagnostic Device,Plasma Source
conductors,measures,magnetic field configuration,Diagnostic Device,Quantity
spectrally integrated,usesDevice_Device_measures,UV and the visible spectral range,Scientific Experiment,Quantity
ISOLATED PLASMA TUBE,usedToDiagnose_MaterialEntity_hasApplicationField,TREATMENT,Diagnostic Device,Application Field
second electrode,measures,relative permittivity,Plasma Source,Quantity
plasma chamber,usedIn_ResearchActivity_hasMedium,supplying gas,Diagnostic Device,Medium
energy rate coefficient,hasUnit,K,Quantity,Unit
anode,usedIn_ResearchActivity_investigates,radiation,Diagnostic Device,Physical Effect
pulsed dielectric barrier arrangement,measures,gap voltage,Plasma Source,Quantity
electrical quantities,usesDevice_Device_measures,half cycle,Scientific Experiment,Quantity
MDs,uses,air,Plasma Source,Medium
jets,uses,noble gases,Plasma Source,Medium
particle accelerator,measures,thicknesses,Diagnostic Device,Quantity
positive high voltage potential,uses,ions,Plasma Source,Medium
condenser discharge,uses,air,Plasma Source,Medium
laser is fired,investigates,discharge breakdown,Scientific Experiment,Physical Effect
reactor chamber,usedIn_ResearchActivity_hasPlasmaSource,source,Diagnostic Device,Plasma Source
spatially and temporally integrated,usesDevice_Device_measures,relative intensities,Scientific Experiment,Quantity
plasma to electric converter,measures,electric power,Diagnostic Device,Quantity
single shot,usesDevice_Device_measures,current peak,Scientific Experiment,Quantity
charge carrier densities,hasUnit,µm,Quantity,Unit
half cycle,hasUnit,milliseconds,Quantity,Unit
radio -frequency,measures,RF power,Plasma Source,Quantity
predetermined gap,measures,voltage,Plasma Source,Quantity
electrostatic chuck,measures,pressure,Diagnostic Device,Quantity
densities of charged particles,hasUnit,cm,Quantity,Unit
quasi neutral,generatedBy_measures,density,Plasma Study,Quantity
electrical power,hasUnit,MHz,Quantity,Unit
coplanar DBDs,measures,overvoltage,Plasma Source,Quantity
plasma systems,measures,bias frequency,Plasma Source,Quantity
discharge stability,generatedBy_measures,pulse duration,Plasma Study,Quantity
